timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:49:31.006618+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,1,conpress,I am going to name some institutions in this count...,1,2,207,2,209,,2
2026-04-02T10:49:31.047300+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,1,confed,I am going to name some institutions in this count...,1,2,211,2,213,,2
2026-04-02T10:49:31.207781+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,1,consci,I am going to name some institutions in this count...,1,1,208,1,209,,1
2026-04-02T10:49:31.440160+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,1,affrmact,Some people say that because of past discriminatio...,1,2,225,2,227,,2
2026-04-02T10:49:31.518420+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,2,consci,I am going to name some institutions in this count...,1,1,197,2,199,,1
2026-04-02T10:49:31.596539+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,2,confed,I am going to name some institutions in this count...,1,2,200,2,202,,2
2026-04-02T10:49:31.798101+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,2,eqwlth,Some people think that the government in Washingto...,1,1,307,2,309,,1
2026-04-02T10:49:31.868781+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,1,eqwlth,Some people think that the government in Washingto...,1,4,318,1,319,,4
2026-04-02T10:49:32.010955+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,3,eqwlth,Some people think that the government in Washingto...,1,1,303,1,304,,1
2026-04-02T10:49:32.059243+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,3,affrmact,Some people say that because of past discriminatio...,1,1,210,2,212,,1
2026-04-02T10:49:32.184259+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,3,confed,I am going to name some institutions in this count...,1,3,196,2,198,,3
2026-04-02T10:49:32.659829+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,4,conpress,I am going to name some institutions in this count...,1,3,197,2,199,,3
2026-04-02T10:49:32.863762+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,3,consci,I am going to name some institutions in this count...,1,1,193,2,195,,1
2026-04-02T10:49:33.203486+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,4,eqwlth,Some people think that the government in Washingto...,1,4,308,2,310,,4
2026-04-02T10:49:33.309633+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,2,affrmact,Some people say that because of past discriminatio...,1,1,214,1,215,,1
2026-04-02T10:49:33.424383+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,5,affrmact,Some people say that because of past discriminatio...,1,3,217,2,219,,3
2026-04-02T10:49:33.546968+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,3,conpress,I am going to name some institutions in this count...,1,1,192,1,193,,1
2026-04-02T10:49:33.639405+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,5,eqwlth,Some people think that the government in Washingto...,1,4,310,2,312,,4
2026-04-02T10:49:33.703864+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,4,affrmact,Some people say that because of past discriminatio...,1,3,215,1,216,,3
2026-04-02T10:49:33.735576+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,5,confed,I am going to name some institutions in this count...,1,2,203,2,205,,2
2026-04-02T10:49:33.828710+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,5,conpress,I am going to name some institutions in this count...,1,2,199,2,201,,2
2026-04-02T10:49:33.975004+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,4,consci,I am going to name some institutions in this count...,1,1,198,2,200,,1
2026-04-02T10:49:34.141613+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,5,consci,I am going to name some institutions in this count...,1,1,200,2,202,,1
2026-04-02T10:49:34.155771+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,4,confed,I am going to name some institutions in this count...,1,3,201,1,202,,3
2026-04-02T10:49:34.455432+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,6,conpress,I am going to name some institutions in this count...,1,3,190,2,192,,3
2026-04-02T10:49:34.460647+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,2,conpress,I am going to name some institutions in this count...,1,2,196,2,198,,2
2026-04-02T10:49:35.140627+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,7,conpress,I am going to name some institutions in this count...,1,1,184,2,186,,1
2026-04-02T10:49:35.241322+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,6,consci,I am going to name some institutions in this count...,1,2,191,1,192,,2
2026-04-02T10:49:35.457189+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,6,affrmact,Some people say that because of past discriminatio...,1,3,208,2,210,,3
2026-04-02T10:49:35.484667+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,7,eqwlth,Some people think that the government in Washingto...,1,1,295,2,297,,1
2026-04-02T10:49:35.640064+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,6,confed,I am going to name some institutions in this count...,1,3,194,2,196,,3
2026-04-02T10:49:35.681427+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,8,affrmact,Some people say that because of past discriminatio...,1,3,204,2,206,,3
2026-04-02T10:49:36.101581+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,8,conpress,I am going to name some institutions in this count...,1,2,186,2,188,,2
2026-04-02T10:49:36.129375+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,8,confed,I am going to name some institutions in this count...,1,3,190,2,192,,3
2026-04-02T10:49:36.237269+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,7,confed,I am going to name some institutions in this count...,1,1,188,2,190,,1
2026-04-02T10:49:36.283155+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,7,affrmact,Some people say that because of past discriminatio...,1,1,202,2,204,,1
2026-04-02T10:49:36.329682+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,7,consci,I am going to name some institutions in this count...,1,1,185,2,187,,1
2026-04-02T10:49:36.423710+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,6,eqwlth,Some people think that the government in Washingto...,1,5,301,2,303,,5
2026-04-02T10:49:36.440203+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,8,eqwlth,Some people think that the government in Washingto...,1,4,297,2,299,,4
2026-04-02T10:49:36.826258+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,9,consci,I am going to name some institutions in this count...,1,1,195,2,197,,1
2026-04-02T10:49:36.866437+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics_political,9,confed,I am going to name some institutions in this count...,1,2,198,1,199,,2
