timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:54:33.991717+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,1,consci,I am going to name some institutions in this count...,1,1,191,2,193,,1
2026-04-02T10:54:33.997251+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,2,affrmact,Some people say that because of past discriminatio...,1,3,203,2,205,,3
2026-04-02T10:54:34.025123+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,1,confed,I am going to name some institutions in this count...,1,3,194,2,196,,3
2026-04-02T10:54:34.079196+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,1,eqwlth,Some people think that the government in Washingto...,1,1,301,2,303,,1
2026-04-02T10:54:34.132454+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,1,affrmact,Some people say that because of past discriminatio...,1,2,208,1,209,,2
2026-04-02T10:54:34.188819+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,1,conpress,I am going to name some institutions in this count...,1,2,190,2,192,,2
2026-04-02T10:54:34.266783+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,2,eqwlth,Some people think that the government in Washingto...,1,4,296,1,297,,4
2026-04-02T10:54:34.482619+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,2,consci,I am going to name some institutions in this count...,1,1,186,2,188,,1
2026-04-02T10:54:34.669537+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,2,conpress,I am going to name some institutions in this count...,1,3,185,1,186,,3
2026-04-02T10:54:34.978208+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,3,confed,I am going to name some institutions in this count...,1,3,185,2,187,,3
2026-04-02T10:54:35.050538+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,3,conpress,I am going to name some institutions in this count...,1,3,181,2,183,,3
2026-04-02T10:54:35.166714+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,4,eqwlth,Some people think that the government in Washingto...,1,4,297,2,299,,4
2026-04-02T10:54:35.373990+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,3,eqwlth,Some people think that the government in Washingto...,1,4,292,1,293,,4
2026-04-02T10:54:35.685747+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,4,confed,I am going to name some institutions in this count...,1,3,190,2,192,,3
2026-04-02T10:54:35.875248+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,4,conpress,I am going to name some institutions in this count...,1,3,186,2,188,,3
2026-04-02T10:54:36.847742+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,2,confed,I am going to name some institutions in this count...,1,3,189,1,190,,3
2026-04-02T10:54:36.950509+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,3,affrmact,Some people say that because of past discriminatio...,1,3,199,1,200,,3
2026-04-02T10:54:37.201632+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,5,confed,I am going to name some institutions in this count...,1,3,183,2,185,,3
2026-04-02T10:54:37.257410+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,4,consci,I am going to name some institutions in this count...,1,1,187,2,189,,1
2026-04-02T10:54:37.287833+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,5,conpress,I am going to name some institutions in this count...,1,2,179,2,181,,2
2026-04-02T10:54:37.349656+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,5,affrmact,Some people say that because of past discriminatio...,1,3,197,2,199,,3
2026-04-02T10:54:37.579109+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,5,eqwlth,Some people think that the government in Washingto...,1,1,290,1,291,,1
2026-04-02T10:54:37.727067+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,6,confed,I am going to name some institutions in this count...,1,3,183,2,185,,3
2026-04-02T10:54:37.958259+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,6,eqwlth,Some people think that the government in Washingto...,1,1,290,2,292,,1
2026-04-02T10:54:38.748738+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,5,consci,I am going to name some institutions in this count...,1,1,180,1,181,,1
2026-04-02T10:54:38.772183+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,6,affrmact,Some people say that because of past discriminatio...,1,3,197,2,199,,3
2026-04-02T10:54:38.793234+00:00,qwen/qwen3-235b-a22b-2507,personas_demographics,7,eqwlth,Some people think that the government in Washingto...,1,4,285,2,287,,4
