timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:47:01.446641+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,1,confed,I am going to name some institutions in this count...,1,2.0,196,2,198,,2
2026-04-02T10:47:02.252952+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,2,conpress,I am going to name some institutions in this count...,1,2.0,183,2,185,,2
2026-04-02T10:47:02.739215+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,2,affrmact,Some people say that because of past discriminatio...,1,3.0,206,2,208,,3
2026-04-02T10:47:02.757607+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,1,eqwlth,Some people think that the government in Washingto...,1,4.0,303,1,304,,4
2026-04-02T10:47:02.854841+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,1,conpress,I am going to name some institutions in this count...,1,2.0,198,2,200,,2
2026-04-02T10:47:03.870182+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,1,consci,I am going to name some institutions in this count...,1,2.0,193,1,194,,2
2026-04-02T10:47:03.925703+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,2,eqwlth,Some people think that the government in Washingto...,1,1.0,294,2,296,,1
2026-04-02T10:47:03.978344+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,3,affrmact,Some people say that because of past discriminatio...,1,1.0,194,1,195,,1
2026-04-02T10:47:04.178651+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,2,confed,I am going to name some institutions in this count...,1,3.0,187,1,188,,3
2026-04-02T10:47:04.371045+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,4,affrmact,Some people say that because of past discriminatio...,1,4.0,198,2,200,,4
2026-04-02T10:47:04.988042+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,4,eqwlth,Some people think that the government in Washingto...,1,2.0,292,2,294,,2
2026-04-02T10:47:05.135506+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,3,conpress,I am going to name some institutions in this count...,1,3.0,183,2,185,,3
2026-04-02T10:47:05.410215+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,4,confed,I am going to name some institutions in this count...,1,2.0,185,1,186,,2
2026-04-02T10:47:05.898140+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,4,consci,I am going to name some institutions in this count...,1,2.0,182,2,184,,2
2026-04-02T10:47:06.121673+00:00,deepseek/deepseek-v3.2-20251201,personas_demographics_political,3,consci,I am going to name some institutions in this count...,1,1.0,178,2,180,,1
