,ID,Age,Gender,University,Education,Major,BFI_1_E,R_BFI_2_A,BFI_3_C,BFI_4_N,BFI_5_O,R_BFI_6_E,BFI_7_A,R_BFI_8_C,R_BFI_9_N,BFI_10_O,BFI_11_E,R_BFI_12_A,BFI_13_C,BFI_14_N,BFI_15_O,BFI_16_E,BFI_17_A,R_BFI_18_C,BFI_19_N,BFI_20_O,R_BFI_21_E,BFI_22_A,R_BFI_23_C,R_BFI_24_N,BFI_25_O,BFI_26_E,R_BFI_27_A,BFI_28_C,BFI_29_N,BFI_30_O,BFI_31_E,BFI_32_A,BFI_33_C,R_BFI_34_N,R_BFI_35_O,BFI_36_E,R_BFI_37_A,BFI_38_C,BFI_39_N,BFI_40_O,R_BFI_41_O,BFI_42_A,R_BFI_43_C,BFI_44_O,GAAIS_1_P,GAAIS_2_P,R_GAAIS_3_N,GAAIS_4_P,GAAIS_5_P,R_GAAIS_6_N,GAAIS_7_P,R_GAAIS_8_N,R_GAAIS_9_N,R_GAAIS_10_N,GAAIS_11_P,GAAIS_12_P,GAAIS_13_P,GAAIS_14_P,R_GAAIS_15_N,GAAIS_16_P,GAAIS_17_P,GAAIS_18_P,R_GAAIS_19_N,R_GAAIS_20_N,BFI_O,BFI_E,BFI_A,BFI_N,BFI_C,GAAIS_P,GAAIS_N
0,1,20,Woman,Private,Freshman,Business,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree Strongly,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Disagree a little,Disagree a little,,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Disagree a little,Disagree Strongly,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree Strongly,Agree a little,(Somewhat) disagree,Strongly agree,(Somewhat) disagree,Neutral,(Somewhat) agree,Strongly disagree,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,3.5,3.428571429,4,3.75,2.555555556,3.916666667,2.125
1,2,23,Man,Private,Senior,Business,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree Strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Strongly disagree,Strongly agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,(Somewhat) agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,(Somewhat) disagree,Strongly disagree,4,4.5,3.333333333,3.25,3.777777778,4.416666667,2
2,3,20,Man,Private,Freshman,Undeclared,Neither agree nor disagree,Disagree a little,Disagree a little,Disagree Strongly,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Agree strongly,Disagree Strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree strongly,Disagree Strongly,Disagree Strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree a little,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Strongly disagree,(Somewhat) agree,Strongly disagree,(Somewhat) agree,(Somewhat) agree,Neutral,Strongly disagree,Neutral,Neutral,(Somewhat) disagree,Neutral,Strongly disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly disagree,Strongly agree,Strongly disagree,3,2.625,3.111111111,2.25,3.666666667,2.75,2.75
3,4,19,Woman,Private,Freshman,Undeclared,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Strongly disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,Neutral,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Neutral,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,Neutral,3.3,3.5,3.777777778,3.5,3.555555556,3.166666667,2.5
4,5,19,Woman,Private,Freshman,Natural Sciences,Disagree a little,Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Disagree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree strongly,Agree a little,Agree strongly,Strongly disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,Strongly agree,Strongly disagree,(Somewhat) disagree,Neutral,Strongly disagree,Strongly disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,Strongly disagree,4.1,2.428571429,5,4.5,4.333333333,2.666666667,1.625
5,6,21,Woman,Private,Senior,Natural Sciences,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Disagree Strongly,Agree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree a little,Disagree a little,Agree a little,Agree strongly,Neither agree nor disagree,Disagree Strongly,Disagree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Disagree Strongly,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree strongly,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Strongly agree,(Somewhat) disagree,Strongly agree,(Somewhat) agree,Strongly disagree,(Somewhat) disagree,Strongly agree,Neutral,Strongly disagree,(Somewhat) agree,Neutral,(Somewhat) agree,(Somewhat) disagree,Strongly agree,(Somewhat) disagree,Strongly disagree,3.4,3.25,2.666666667,3.75,2.888888889,3.833333333,2.25
6,7,21,Man,Private,Sophomore,Natural Sciences,Disagree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree Strongly,Neither agree nor disagree,Disagree a little,Disagree Strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Agree strongly,Strongly agree,Strongly agree,Strongly disagree,(Somewhat) agree,Strongly agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,(Somewhat) agree,Strongly agree,Strongly agree,Strongly agree,(Somewhat) disagree,Neutral,3.7,3,3.666666667,3.25,3.888888889,4.833333333,2.875
7,8,24,Man,Private,Senior,Social Sciences,Agree a little,Agree a little,Disagree a little,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree Strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree strongly,Disagree Strongly,Disagree Strongly,Agree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,(Somewhat) agree,Strongly agree,Neutral,Neutral,Strongly agree,(Somewhat) agree,(Somewhat) agree,(Somewhat) agree,Strongly agree,(Somewhat) disagree,Strongly agree,Strongly agree,(Somewhat) disagree,Strongly agree,Strongly agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Strongly agree,Neutral,4.6,4,4.888888889,2.25,4.333333333,4,3.875
8,9,21,Woman,Private,Senior,Social Sciences,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Disagree Strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Agree a little,Agree a little,Neither agree nor disagree,(Somewhat) disagree,Neutral,Neutral,(Somewhat) disagree,(Somewhat) agree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,Neutral,Neutral,(Somewhat) disagree,Neutral,(Somewhat) disagree,(Somewhat) disagree,(Somewhat) disagree,Strongly disagree,(Somewhat) disagree,Neutral,2.9,2.5,3.777777778,3.875,4.222222222,2.416666667,2.25
9,10,22,Woman,Private,Senior,Social Sciences,Neither agree nor disagree,Agree a little,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Agree strongly,Agree a little,Agree a little,Neither agree nor disagree,Agree strongly,Agree a little,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Agree strongly,Agree a little,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,Disagree Strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Agree strongly,Neither agree nor disagree,(Somewhat) agree,Neutral,Neutral,(Somewhat) disagree,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,(Somewhat) disagree,Neutral,(Somewhat) agree,(Somewhat) disagree,(Somewhat) agree,(Somewhat) agree,Neutral,(Somewhat) agree,Neutral,(Somewhat) disagree,Neutral,3.2,3,4.888888889,3.625,4.666666667,3.166666667,2.375
