respondent_id,persona
1,"I am 33 years old. I am male. I am Black or African American. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999."
2,"I am 64 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999."
3,"I am 69 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $110,000 to $129,999."
4,"I am 19 years old. I am male. I am of another race. I have never been married. I completed high school (12th grade). My family income is $150,000 to $169,999."
5,"I am 70 years old. I am female. I am White. I am divorced. I had 1 year of college education. My family income is $60,000 to $74,999."
6,"I am 53 years old. I am male. I am of another race. I am married. I had 2 years of college education. My family income is $7,000 to $7,999."
7,"I am 48 years old. I am female. I am White. I am married. I had 1 year of college education. My family income is $170,000 or more."
8,"I am 30 years old. I am female. I am White. I am divorced. I had 2 years of college education. My family income is $8,000 to $9,999."
9,"I am 60 years old. I am female. I am Black or African American. I am married. I had 2 years of college education. My family income is $170,000 or more."
10,I am 25 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade).
11,"I am 23 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $110,000 to $129,999."
12,"I am 68 years old. I am female. I am White. I am widowed. I completed 5th grade. My family income is $8,000 to $9,999."
13,"I am 43 years old. I am female. I am White. I am divorced. I had 2 years of college education. My family income is $60,000 to $74,999."
14,"I am 37 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $75,000 to $89,999."
15,"I am 63 years old. I am female. I am White. I am divorced. I completed high school (12th grade). My family income is $17,500 to $19,999."
16,"I am 31 years old. I am female. I am White. I am married. I had 7 years of college education. My family income is $90,000 to $109,999."
17,"I am 64 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
18,I am White. I am married. I had 1 year of college education.
19,"I am 63 years old. I am female. I am White. I am married. I completed 11th grade. My family income is $110,000 to $129,999."
20,"I am 41 years old. I am female. I am White. I am divorced. I completed 8th grade. My family income is $60,000 to $74,999."
21,"I am 75 years old. I am female. I am White. I am divorced. I had 1 year of college education. My family income is $25,000 to $29,999."
22,"I am 51 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
23,"I am 69 years old. I am male. I am White. I am divorced. I had 2 years of college education. My family income is $130,000 to $149,999."
24,"I am 48 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $110,000 to $129,999."
25,"I am 58 years old. I am male. I am of another race. I am married. I had 2 years of college education. My family income is $150,000 to $169,999."
26,"I am 71 years old. I am male. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more."
27,"I am 73 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
28,"I am 74 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $150,000 to $169,999."
29,"I am 56 years old. I am female. I am White. I am married. I had 2 years of college education. My family income is $30,000 to $34,999."
30,I am 40 years old. I am male. I am of another race. I am married. I had 2 years of college education.
31,I am 55 years old. I am female. I am White. I am married. I had 1 year of college education.
32,I am 55 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree).
33,"I am 31 years old. I am male. I am of another race. I have never been married. I completed high school (12th grade). My family income is $90,000 to $109,999."
34,"I am 61 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $35,000 to $39,999."
35,"I am 71 years old. I am female. I am White. I have never been married. I completed high school (12th grade). My family income is $40,000 to $49,999."
36,I am 70 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree).
37,"I am 60 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999."
38,"I am 57 years old. I am female. I am of another race. I have never been married. I completed 11th grade. My family income is $30,000 to $34,999."
39,"I am 37 years old. I am female. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999."
40,"I am 26 years old. I am male. I am White. I have never been married. I completed high school (12th grade). My family income is $30,000 to $34,999."
41,"I am 59 years old. I am male. I am White. I am divorced. I completed high school (12th grade). My family income is $50,000 to $59,999."
42,"I am 65 years old. I am male. I am White. I am married. I completed high school (12th grade). My family income is $50,000 to $59,999."
43,"I am 71 years old. I am female. I am White. I am married. I had 5 years of college education. My family income is $75,000 to $89,999."
44,"I am 41 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more."
45,"I am 58 years old. I am male. I am White. I am married. I had 5 years of college education. My family income is $150,000 to $169,999."
46,"I am 79 years old. I am male. I am White. I am married. I had 5 years of college education. My family income is $90,000 to $109,999."
47,"I am 83 years old. I am female. I am White. I am widowed. I completed 4 years of college (bachelor's degree). My family income is $50,000 to $59,999."
48,"I am 57 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
49,"I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
50,"I am 65 years old. I am male. I am White. I am married. I completed 11th grade. My family income is $150,000 to $169,999."
51,"I am 74 years old. I am female. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
52,"I am 61 years old. I am female. I am White. I am married. I had 6 years of college education (master's degree). My family income is $170,000 or more."
53,"I am 24 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $75,000 to $89,999."
54,"I am 61 years old. I am male. I am Black or African American. I have never been married. I completed 6th grade. My family income is $3,000 to $3,999."
55,"I am 56 years old. I am female. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $10,000 to $12,499."
56,I am 72 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree).
57,I am female. I am White. I am married. I completed high school (12th grade).
58,"I am 49 years old. I am female. I am White. I am divorced. I had 6 years of college education (master's degree). My family income is $75,000 to $89,999."
59,"I am 78 years old. I am male. I am White. I am married. I had 1 year of college education. My family income is $170,000 or more."
60,"I am 63 years old. I am female. I am of another race. I have never been married. I had 1 year of college education. My family income is $12,500 to $14,999."
61,"I am 57 years old. I am female. I am White. I have never been married. I had 6 years of college education (master's degree). My family income is $170,000 or more."
62,"I am 26 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
63,"I am female. I am White. I am married. I completed high school (12th grade). My family income is $7,000 to $7,999."
64,"I am 79 years old. I am male. I am White. I am divorced. I had 3 years of college education. My family income is $60,000 to $74,999."
65,"I am 22 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
66,"I am 49 years old. I am female. I am of another race. I am married. I had 5 years of college education. My family income is $170,000 or more."
67,I am 52 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree).
68,"I am 70 years old. I am male. I am White. I am divorced. I had 5 years of college education. My family income is $75,000 to $89,999."
69,I am 23 years old. I am male. I am of another race. I have never been married. I had 3 years of college education.
70,I am 25 years old. I am female. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree).
71,"I am 41 years old. I am female. I am of another race. I am married. I had 5 years of college education. My family income is $60,000 to $74,999."
72,"I am 37 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $40,000 to $49,999."
73,"I am 32 years old. I am male. I am White. I am married. I completed 4 years of college (bachelor's degree). My family income is $3,000 to $3,999."
74,"I am 32 years old. I am male. I am of another race. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $90,000 to $109,999."
75,"I am 54 years old. I am male. I am Black or African American. I have never been married. I completed high school (12th grade). My family income is $50,000 to $59,999."
76,"I am 56 years old. I am male. I am Black or African American. I have never been married. I had 1 year of college education. My family income is $10,000 to $12,499."
77,"I am 28 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
78,"I am 46 years old. I am female. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $170,000 or more."
79,I am 20 years old. I am female. I am of another race. I have never been married. I had 2 years of college education.
80,"I am 31 years old. I am male. I am White. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $30,000 to $34,999."
81,"I am 49 years old. I am male. I have never been married. I completed high school (12th grade). My family income is $50,000 to $59,999."
82,"I am 59 years old. I am female. I am Black or African American. I am separated. I completed 4 years of college (bachelor's degree). My family income is $35,000 to $39,999."
83,"I am 65 years old. I am male. I am White. I am married. My family income is $35,000 to $39,999."
84,"I am 74 years old. I am female. I am Black or African American. I am married. I completed 3rd grade. My family income is $6,000 to $6,999."
85,I am 47 years old. I am female. I am separated. I had 5 years of college education.
86,"I am 62 years old. I am female. I am of another race. I am married. I had 2 years of college education. My family income is $60,000 to $74,999."
87,"I am 37 years old. I am female. I am of another race. I am separated. I had 1 year of college education. My family income is $1,000 to $2,999."
88,"I am 50 years old. I am female. I am divorced. I completed high school (12th grade). My family income is $50,000 to $59,999."
89,"I am 34 years old. I am female. I have never been married. I had 2 years of college education. My family income is $50,000 to $59,999."
90,"I am 36 years old. I am male. I am of another race. I am married. I completed 4 years of college (bachelor's degree). My family income is $20,000 to $22,499."
91,"I am 75 years old. I am female. I am Black or African American. I am widowed. I had 2 years of college education. My family income is $50,000 to $59,999."
