timestamp,model,condition,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-01T21:05:07.382438+00:00,google/gemini-2.5-flash-lite,demo_big5,1,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,4,159,1,160,,4
2026-04-01T21:05:07.710896+00:00,google/gemini-2.5-flash-lite,demo_big5,1,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,4,161,1,162,,4
2026-04-01T21:05:08.154692+00:00,google/gemini-2.5-flash-lite,demo_big5,1,GAAIS_17_P,Artificial Intelligence is exciting....,1,5,154,1,155,,5
2026-04-01T21:05:08.588351+00:00,google/gemini-2.5-flash-lite,demo_big5,1,R_GAAIS_3_N,I find Artificial Intelligence sinister....,1,2,155,1,156,,2
2026-04-01T21:05:08.908665+00:00,google/gemini-2.5-flash-lite,demo_big5,1,R_GAAIS_8_N,Artificial Intelligence might take control of peop...,1,2,157,1,158,,2
2026-04-01T21:05:10.995056+00:00,google/gemini-2.5-flash-lite,demo_big5,2,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,4,161,1,162,,4
2026-04-01T21:05:11.391395+00:00,google/gemini-2.5-flash-lite,demo_big5,2,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,4,163,1,164,,4
2026-04-01T21:05:11.807397+00:00,google/gemini-2.5-flash-lite,demo_big5,2,GAAIS_17_P,Artificial Intelligence is exciting....,1,5,156,1,157,,5
2026-04-01T21:05:12.208047+00:00,google/gemini-2.5-flash-lite,demo_big5,2,R_GAAIS_3_N,I find Artificial Intelligence sinister....,1,3,157,1,158,,3
2026-04-01T21:05:12.544927+00:00,google/gemini-2.5-flash-lite,demo_big5,2,R_GAAIS_8_N,Artificial Intelligence might take control of peop...,1,4,159,1,160,,4
2026-04-01T21:05:13.045513+00:00,google/gemini-2.5-flash-lite,demo_big5,3,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,5,159,1,160,,5
2026-04-01T21:05:13.489591+00:00,google/gemini-2.5-flash-lite,demo_big5,3,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,5,161,1,162,,5
