timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T10:56:41.574317+00:00,google/gemini-2.5-flash-lite,gss2024_personas,1,eqwlth,Some people think that the government in Washingto...,1,3,323,1,324,,3
2026-04-02T10:56:41.581009+00:00,google/gemini-2.5-flash-lite,gss2024_personas,1,conpress,I am going to name some institutions in this count...,1,2,211,1,212,,2
2026-04-02T10:56:41.584625+00:00,google/gemini-2.5-flash-lite,gss2024_personas,2,affrmact,Some people say that because of past discriminatio...,1,3,215,1,216,,3
2026-04-02T10:56:41.591988+00:00,google/gemini-2.5-flash-lite,gss2024_personas,2,confed,I am going to name some institutions in this count...,1,2,203,1,204,,2
2026-04-02T10:56:41.606408+00:00,google/gemini-2.5-flash-lite,gss2024_personas,1,consci,I am going to name some institutions in this count...,1,2,212,1,213,,2
2026-04-02T10:56:41.846681+00:00,google/gemini-2.5-flash-lite,gss2024_personas,2,eqwlth,Some people think that the government in Washingto...,1,1,311,1,312,,1
2026-04-02T10:56:41.934226+00:00,google/gemini-2.5-flash-lite,gss2024_personas,1,confed,I am going to name some institutions in this count...,1,2,215,1,216,,2
2026-04-02T10:56:42.232768+00:00,google/gemini-2.5-flash-lite,gss2024_personas,3,conpress,I am going to name some institutions in this count...,1,3,194,1,195,,3
2026-04-02T10:56:42.293882+00:00,google/gemini-2.5-flash-lite,gss2024_personas,3,confed,I am going to name some institutions in this count...,1,3,198,1,199,,3
2026-04-02T10:56:42.398094+00:00,google/gemini-2.5-flash-lite,gss2024_personas,3,consci,I am going to name some institutions in this count...,1,1,195,1,196,,1
2026-04-02T10:56:42.764315+00:00,google/gemini-2.5-flash-lite,gss2024_personas,4,eqwlth,Some people think that the government in Washingto...,1,4,313,1,314,,4
2026-04-02T10:56:42.852008+00:00,google/gemini-2.5-flash-lite,gss2024_personas,3,eqwlth,Some people think that the government in Washingto...,1,1,306,1,307,,1
2026-04-02T10:56:43.307393+00:00,google/gemini-2.5-flash-lite,gss2024_personas,4,confed,I am going to name some institutions in this count...,1,2,205,1,206,,2
2026-04-02T10:56:43.322574+00:00,google/gemini-2.5-flash-lite,gss2024_personas,4,consci,I am going to name some institutions in this count...,1,1,202,1,203,,1
2026-04-02T10:56:43.767140+00:00,google/gemini-2.5-flash-lite,gss2024_personas,5,eqwlth,Some people think that the government in Washingto...,1,4,314,1,315,,4
2026-04-02T10:56:44.175179+00:00,google/gemini-2.5-flash-lite,gss2024_personas,5,confed,I am going to name some institutions in this count...,1,2,206,1,207,,2
2026-04-02T10:56:44.583752+00:00,google/gemini-2.5-flash-lite,gss2024_personas,5,conpress,I am going to name some institutions in this count...,1,2,202,1,203,,2
2026-04-02T10:56:45.045397+00:00,google/gemini-2.5-flash-lite,gss2024_personas,5,consci,I am going to name some institutions in this count...,1,2,203,1,204,,2
2026-04-02T10:56:45.566945+00:00,google/gemini-2.5-flash-lite,gss2024_personas,6,affrmact,Some people say that because of past discriminatio...,1,3,213,1,214,,3
2026-04-02T10:56:46.000228+00:00,google/gemini-2.5-flash-lite,gss2024_personas,6,eqwlth,Some people think that the government in Washingto...,1,3,309,1,310,,3
2026-04-02T10:56:46.503350+00:00,google/gemini-2.5-flash-lite,gss2024_personas,6,confed,I am going to name some institutions in this count...,1,3,201,1,202,,3
2026-04-02T10:56:46.562309+00:00,google/gemini-2.5-flash-lite,gss2024_personas,1,affrmact,Some people say that because of past discriminatio...,1,2,227,1,228,,2
2026-04-02T10:56:46.958542+00:00,google/gemini-2.5-flash-lite,gss2024_personas,6,conpress,I am going to name some institutions in this count...,1,2,197,1,198,,2
2026-04-02T10:56:47.061199+00:00,google/gemini-2.5-flash-lite,gss2024_personas,6,consci,I am going to name some institutions in this count...,1,2,198,1,199,,2
2026-04-02T10:56:47.389000+00:00,google/gemini-2.5-flash-lite,gss2024_personas,7,affrmact,Some people say that because of past discriminatio...,1,1,202,1,203,,1
2026-04-02T10:56:47.493403+00:00,google/gemini-2.5-flash-lite,gss2024_personas,7,eqwlth,Some people think that the government in Washingto...,1,1,298,1,299,,1
