timestamp,model,persona_file,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-02T11:01:26.943296+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,2,eqwlth,Some people think that the government in Washingto...,1,1,313,2,315,,1
2026-04-02T11:01:27.091848+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,1,affrmact,Some people say that because of past discriminatio...,1,3,232,1,233,,3
2026-04-02T11:01:27.572512+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,1,confed,I am going to name some institutions in this count...,1,2,218,2,220,,2
2026-04-02T11:01:27.680634+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,1,eqwlth,Some people think that the government in Washingto...,1,4,325,2,327,,4
2026-04-02T11:01:27.708796+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,1,conpress,I am going to name some institutions in this count...,1,2,214,2,216,,2
2026-04-02T11:01:27.812657+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,2,affrmact,Some people say that because of past discriminatio...,1,1,220,2,222,,1
2026-04-02T11:01:28.098276+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,2,consci,I am going to name some institutions in this count...,1,1,203,2,205,,1
2026-04-02T11:01:28.130454+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,3,eqwlth,Some people think that the government in Washingto...,1,1,309,2,311,,1
2026-04-02T11:01:28.202061+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,2,conpress,I am going to name some institutions in this count...,1,2,202,2,204,,2
2026-04-02T11:01:28.297331+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,3,conpress,I am going to name some institutions in this count...,1,1,198,2,200,,1
2026-04-02T11:01:28.413105+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,3,confed,I am going to name some institutions in this count...,1,2,202,2,204,,2
2026-04-02T11:01:28.604046+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,2,confed,I am going to name some institutions in this count...,1,2,206,2,208,,2
2026-04-02T11:01:28.623824+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,1,consci,I am going to name some institutions in this count...,1,1,215,1,216,,1
2026-04-02T11:01:28.717923+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,3,consci,I am going to name some institutions in this count...,1,1,199,1,200,,1
2026-04-02T11:01:28.911548+00:00,qwen/qwen3-235b-a22b-2507,gss2024_personas,4,confed,I am going to name some institutions in this count...,1,3,210,2,212,,3
