timestamp,model,condition,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-01T20:57:01.386243+00:00,google/gemini-2.5-flash-lite,demo_only,1,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,5,126,1,127,,5
2026-04-01T20:57:01.787249+00:00,google/gemini-2.5-flash-lite,demo_only,1,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,4,128,1,129,,4
2026-04-01T20:57:02.143081+00:00,google/gemini-2.5-flash-lite,demo_only,1,GAAIS_17_P,Artificial Intelligence is exciting....,1,5,121,1,122,,5
2026-04-01T20:57:02.570744+00:00,google/gemini-2.5-flash-lite,demo_only,1,R_GAAIS_3_N,I find Artificial Intelligence sinister....,1,2,122,1,123,,2
2026-04-01T20:57:04.429692+00:00,google/gemini-2.5-flash-lite,demo_only,1,R_GAAIS_8_N,Artificial Intelligence might take control of peop...,1,3,124,1,125,,3
2026-04-01T20:57:05.235621+00:00,google/gemini-2.5-flash-lite,demo_only,2,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,4,126,1,127,,4
2026-04-01T20:57:06.694758+00:00,google/gemini-2.5-flash-lite,demo_only,2,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,4,128,1,129,,4
2026-04-01T20:57:07.127141+00:00,google/gemini-2.5-flash-lite,demo_only,2,GAAIS_17_P,Artificial Intelligence is exciting....,1,5,121,1,122,,5
2026-04-01T20:57:07.534925+00:00,google/gemini-2.5-flash-lite,demo_only,2,R_GAAIS_3_N,I find Artificial Intelligence sinister....,1,3,122,1,123,,3
2026-04-01T20:57:07.902484+00:00,google/gemini-2.5-flash-lite,demo_only,2,R_GAAIS_8_N,Artificial Intelligence might take control of peop...,1,4,124,1,125,,4
2026-04-01T20:57:08.252749+00:00,google/gemini-2.5-flash-lite,demo_only,3,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,5,126,1,127,,5
2026-04-01T20:57:08.568931+00:00,google/gemini-2.5-flash-lite,demo_only,3,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,4,128,1,129,,4
2026-04-01T20:57:08.888037+00:00,google/gemini-2.5-flash-lite,demo_only,3,GAAIS_17_P,Artificial Intelligence is exciting....,1,4,121,1,122,,4
2026-04-01T20:57:09.331267+00:00,google/gemini-2.5-flash-lite,demo_only,3,R_GAAIS_3_N,I find Artificial Intelligence sinister....,1,3,122,1,123,,3
2026-04-01T20:57:09.709778+00:00,google/gemini-2.5-flash-lite,demo_only,3,R_GAAIS_8_N,Artificial Intelligence might take control of peop...,1,3,124,1,125,,3
2026-04-01T20:57:10.092992+00:00,google/gemini-2.5-flash-lite,demo_only,4,GAAIS_5_P,I am impressed by what Artificial Intelligence can...,1,5,127,1,128,,5
2026-04-01T20:57:10.470846+00:00,google/gemini-2.5-flash-lite,demo_only,4,GAAIS_7_P,Artificial Intelligence can have positive impacts ...,1,4,129,1,130,,4
