respondent_id,persona
1,"I am 22 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is high, my neuroticism is low, my conscientiousness is low."
2,"I am 20 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities. On personality traits: my openness is very high, my extraversion is moderate, my agreeableness is very high, my neuroticism is moderate, my conscientiousness is moderate."
3,"I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is moderate, my conscientiousness is moderate."
4,"I am 22 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is low, my conscientiousness is high."
5,"I am 22 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is high, my agreeableness is moderate, my neuroticism is moderate, my conscientiousness is moderate."
6,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is high, my extraversion is very low, my agreeableness is very high, my neuroticism is high, my conscientiousness is high."
7,"I am 19 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Humanities. On personality traits: my openness is high, my extraversion is moderate, my agreeableness is very high, my neuroticism is low, my conscientiousness is high."
8,"I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is moderate, my extraversion is low, my agreeableness is high, my neuroticism is very high, my conscientiousness is moderate."
9,"I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences. On personality traits: my openness is low, my extraversion is very low, my agreeableness is low, my neuroticism is very high, my conscientiousness is moderate."
10,"I am 20 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Business. On personality traits: my openness is high, my extraversion is high, my agreeableness is high, my neuroticism is high, my conscientiousness is low."
11,"I am 20 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science. On personality traits: my openness is very high, my extraversion is moderate, my agreeableness is high, my neuroticism is high, my conscientiousness is moderate."
