timestamp,model,persona_id,variable,question_short,run,answer,prompt_tokens,completion_tokens,total_tokens,error,raw_response
2026-04-01T20:26:28.852684+00:00,google/gemini-2.5-flash-lite,1,dummy_abortion,Please tell me whether or not you think it should ...,1,1.0,167,1,168,,1
2026-04-01T20:26:29.212614+00:00,google/gemini-2.5-flash-lite,1,dummy_gunlaw,Would you favor or oppose a law which would requir...,1,1.0,159,1,160,,1
2026-04-01T20:26:29.557807+00:00,google/gemini-2.5-flash-lite,1,dummy_trust,"Generally speaking, would you say that most people...",1,2.0,168,1,169,,2
2026-04-01T20:26:29.932073+00:00,google/gemini-2.5-flash-lite,2,dummy_abortion,Please tell me whether or not you think it should ...,1,1.0,170,1,171,,1
2026-04-01T20:26:30.306734+00:00,google/gemini-2.5-flash-lite,2,dummy_gunlaw,Would you favor or oppose a law which would requir...,1,1.0,162,1,163,,1
2026-04-01T20:26:31.122231+00:00,google/gemini-2.5-flash-lite,2,dummy_trust,"Generally speaking, would you say that most people...",1,1.0,171,1,172,,1
2026-04-01T20:26:31.481684+00:00,google/gemini-2.5-flash-lite,3,dummy_abortion,Please tell me whether or not you think it should ...,1,1.0,169,1,170,,1
2026-04-01T20:26:31.878625+00:00,google/gemini-2.5-flash-lite,3,dummy_gunlaw,Would you favor or oppose a law which would requir...,1,1.0,161,1,162,,1
2026-04-01T20:26:32.712100+00:00,google/gemini-2.5-flash-lite,3,dummy_trust,"Generally speaking, would you say that most people...",1,2.0,170,1,171,,2
2026-04-01T20:26:33.037256+00:00,google/gemini-2.5-flash-lite,4,dummy_abortion,Please tell me whether or not you think it should ...,1,1.0,180,1,181,,1
2026-04-01T20:26:33.433335+00:00,google/gemini-2.5-flash-lite,4,dummy_gunlaw,Would you favor or oppose a law which would requir...,1,2.0,172,1,173,,2
2026-04-01T20:26:33.871287+00:00,google/gemini-2.5-flash-lite,4,dummy_trust,"Generally speaking, would you say that most people...",1,2.0,181,1,182,,2
2026-04-01T20:26:34.282451+00:00,google/gemini-2.5-flash-lite,5,dummy_abortion,Please tell me whether or not you think it should ...,1,1.0,177,1,178,,1
2026-04-01T20:26:34.696106+00:00,google/gemini-2.5-flash-lite,5,dummy_gunlaw,Would you favor or oppose a law which would requir...,1,2.0,169,1,170,,2
