respondent_id,persona
1,I am 22 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Business.
2,I am 20 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
3,I am 21 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Business.
4,I am 22 years old. I am a man. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
5,I am 22 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is Social Sciences.
6,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
7,I am 19 years old. I am a man. I am a third-year undergraduate (Junior) at a private university. My major is Humanities.
8,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
9,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
10,I am 20 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Business.
11,I am 20 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
12,I am 23 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Business.
13,I am 19 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
14,I am 21 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Business.
15,I am 21 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Humanities.
16,I am 19 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Natural Sciences.
17,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
18,I am 23 years old. I am a woman. I am a second-year undergraduate (Sophomore) at a private university. My major is Business.
19,I am 22 years old. I am a woman. I am a third-year undergraduate (Junior) at a private university. My major is PharmD.
20,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
21,I am 19 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
22,I am 24 years old. I am a woman. I am a first-year undergraduate (Freshman) at a private university. My major is Social Sciences.
23,I am 23 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
24,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Humanities.
25,I am 22 years old. I am a woman. I am a fourth-year undergraduate (Senior) at a private university. My major is Social Sciences.
26,I am 20 years old. I am a man. I am a first-year undergraduate (Freshman) at a private university. My major is Computer Science.
27,I am 21 years old. I am a man. I am a second-year undergraduate (Sophomore) at a private university. My major is Computer Science.
