respondent_id,persona
1,"I am 58 years old. I am male. I am White. I have divorced. I completed some college. My family income is $25,000 to $39,999. I am a not very strong Democrat. I am conservative. I never attend religious services."
2,"I am 61 years old. I am male. I am Asian. I have never been married. I completed high school. My family income is $15,000 to $24,999. I am a not very strong Democrat. I am liberal. I attend religious services every week."
3,"I am 56 years old. I am male. I am Black or African American. I have widowed. I completed some college. My family income is $60,000 to $74,999. I am a strong Republican. I am slightly liberal. I never attend religious services."
4,"I am 66 years old. I am male. I am Asian. I have divorced. I completed 4 years of college (bachelor's degree). My family income is $25,000 to $39,999. I am a not very strong Democrat. I am extremely conservative. I attend religious services several times a year."
5,"I am 24 years old. I am male. I am Asian. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $40,000 to $59,999. I am a strong Republican. I am slightly liberal. I never attend religious services."
6,"I am 64 years old. I am female. I am White. I have widowed. I completed high school. My family income is $75,000 to $109,999. I am an independent. I am extremely conservative. I attend religious services every week."
7,"I am 57 years old. I am female. I am Black or African American. I have never been married. I completed high school. My family income is $110,000 to $129,999. I am a not very strong Democrat. I am extremely conservative. I attend religious services several times a year."
8,"I am 23 years old. I am male. I am White. I have widowed. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am an independent. I am liberal. I attend religious services several times a year."
9,"I am 40 years old. I am male. I am Hispanic. I have never been married. I completed some college. My family income is $75,000 to $109,999. I am a not very strong Democrat. I am liberal. I attend religious services several times a year."
10,"I am 42 years old. I am female. I am Black or African American. I have divorced. I completed high school. My family income is $25,000 to $39,999. I am a strong Democrat. I am extremely conservative. I attend religious services several times a year."
11,"I am 43 years old. I am female. I am White. I have married. I completed 4 years of college (bachelor's degree). My family income is $25,000 to $39,999. I am a not very strong Republican. I am moderate (middle of the road). I attend religious services every week."
12,"I am 47 years old. I am male. I am Hispanic. I have married. I completed some college. My family income is $110,000 to $129,999. I am a strong Republican. I am slightly conservative. I attend religious services several times a year."
13,"I am 65 years old. I am female. I am Asian. I have divorced. I completed some college. My family income is $25,000 to $39,999. I am a strong Republican. I am moderate (middle of the road). I never attend religious services."
14,"I am 66 years old. I am male. I am White. I have married. I completed some college. My family income is $110,000 to $129,999. I am a not very strong Republican. I am slightly conservative. I never attend religious services."
15,"I am 42 years old. I am female. I am Asian. I have divorced. I completed high school. My family income is $110,000 to $129,999. I am a strong Democrat. I am conservative. I attend religious services every week."
16,"I am 66 years old. I am female. I am Hispanic. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am a not very strong Democrat. I am moderate (middle of the road). I never attend religious services."
17,"I am 79 years old. I am female. I am Black or African American. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $110,000 to $129,999. I am a strong Republican. I am slightly conservative. I never attend religious services."
18,"I am 27 years old. I am female. I am Black or African American. I have never been married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am a strong Democrat. I am extremely liberal. I attend religious services several times a year."
19,"I am 74 years old. I am female. I am Black or African American. I have never been married. I completed some college. My family income is $75,000 to $109,999. I am a strong Democrat. I am extremely liberal. I attend religious services every week."
20,"I am 49 years old. I am male. I am Black or African American. I have married. I completed a graduate degree. My family income is $75,000 to $109,999. I am a not very strong Democrat. I am slightly liberal. I attend religious services every week."
21,"I am 73 years old. I am female. I am Black or African American. I have married. I completed 4 years of college (bachelor's degree). My family income is $60,000 to $74,999. I am an independent. I am moderate (middle of the road). I attend religious services every week."
